layer,distance,elevation
_571a553a_2d52_49dd_b15b_845a9e671e13,195.265584638375,220.1015625
_571a553a_2d52_49dd_b15b_845a9e671e13,196.154248788609,220.1015625
_571a553a_2d52_49dd_b15b_845a9e671e13,196.612807430539,220.1015625
_571a553a_2d52_49dd_b15b_845a9e671e13,197.501471580773,220.07421875
_571a553a_2d52_49dd_b15b_845a9e671e13,198.390135731007,220.07421875
_571a553a_2d52_49dd_b15b_845a9e671e13,198.848694372937,220.09375
_571a553a_2d52_49dd_b15b_845a9e671e13,199.737358523171,220.09375
_571a553a_2d52_49dd_b15b_845a9e671e13,200.626022673405,220.09375
_571a553a_2d52_49dd_b15b_845a9e671e13,201.084581315335,220.09375
_571a553a_2d52_49dd_b15b_845a9e671e13,201.973245465569,220.09375
_571a553a_2d52_49dd_b15b_845a9e671e13,202.861909615804,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,203.320468257734,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,204.209132407968,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,205.097796558202,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,205.556355200132,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,206.445019350366,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,207.3336835006,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,207.79224214253,220.04296875
_571a553a_2d52_49dd_b15b_845a9e671e13,208.680906292764,219.984375
_571a553a_2d52_49dd_b15b_845a9e671e13,209.569570442998,219.984375
_571a553a_2d52_49dd_b15b_845a9e671e13,210.028129084928,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,210.916793235162,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,211.805457385396,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,212.264016027326,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,213.152680177561,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,214.041344327795,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,214.499902969725,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,215.388567119959,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,215.847125761889,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,216.742351474152,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,217.631015624386,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,218.089574266316,219.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,218.97823841655,219.8984375
_571a553a_2d52_49dd_b15b_845a9e671e13,219.866902566784,219.8984375
_571a553a_2d52_49dd_b15b_845a9e671e13,220.325461208714,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,221.214125358949,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,222.102789509183,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,222.561348151113,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,223.450012301347,219.90234375
_571a553a_2d52_49dd_b15b_845a9e671e13,224.338676451581,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,224.797235093511,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,225.685899243745,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,226.574563393979,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,227.033122035909,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,227.921786186143,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,228.810450336377,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,229.269008978307,219.85546875
_571a553a_2d52_49dd_b15b_845a9e671e13,230.157673128541,219.8046875
_571a553a_2d52_49dd_b15b_845a9e671e13,231.046337278775,219.8046875
